Device,CPN,Video ID,Advertisement,Short Link,Video format,Audio format,Volume/Normalized,Bandwidth,Readahead,Viewport,Dropped frames,Mystery Text
LGE Nexus 5 8.1.0,RTBhVI_pkiSGDfmo,945iNyM0V6k,,https://www.youtube.com/shorts/945iNyM0V6k,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -3.2 dB), 6.93 mbps, 12.5 s,1080x1704xfalse,0 / 60,GQ:23.2s;
LGE Nexus 5 8.1.0,RTBhVI_pkiSGDfmo,945iNyM0V6k,,https://www.youtube.com/shorts/945iNyM0V6k,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -3.2 dB), 0.00 kbps, 12.6 s,1080x1704xfalse,0 / 257,GQ:16.6s;
LGE Nexus 5 8.1.0,RTBhVI_pkiSGDfmo,945iNyM0V6k,,https://www.youtube.com/shorts/945iNyM0V6k,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -3.2 dB), 0.00 kbps, 6.90 s,1080x1704xfalse,1 / 549,GQ:6.9s;
LGE Nexus 5 8.1.0,RTBhVI_pkiSGDfmo,945iNyM0V6k,,https://www.youtube.com/shorts/945iNyM0V6k,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -3.2 dB), 0.00 kbps, 25.2 s,1080x1704xfalse,1 / 756,GQ:25.2s;
LGE Nexus 5 8.1.0,XjDZNLPSZ-a3-sXH,zMvQwUGM5yk,Yes,https://www.youtube.com/shorts/zMvQwUGM5yk,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 5.0 dB), 0.00 kbps, 11.7 s,1080x1704xfalse,0 / 71,GQ:13.7s;
LGE Nexus 5 8.1.0,XjDZNLPSZ-a3-sXH,zMvQwUGM5yk,Yes,https://www.youtube.com/shorts/zMvQwUGM5yk,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 5.0 dB), 0.00 kbps, 6.82 s,1080x1704xfalse,0 / 277,GQ:6.8s;
LGE Nexus 5 8.1.0,nouDNGE08vOXVsfq,yJz4X-IQjrA,,https://www.youtube.com/shorts/yJz4X-IQjrA,136 avc1 576x1024@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 0.00 kbps, 8.45 s,1080x1704xfalse,0 / 61,GQ:8.4s;
LGE Nexus 5 8.1.0,nouDNGE08vOXVsfq,yJz4X-IQjrA,,https://www.youtube.com/shorts/yJz4X-IQjrA,136 avc1 576x1024@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 0.0 dB), 0.00 kbps, 1.84 s,1080x1704xfalse,0 / 259,GQ:1.8s;
LGE Nexus 5 8.1.0,vjXlK_2-S6Quu7Av,a5w2cAj4tiM,,https://www.youtube.com/shorts/a5w2cAj4tiM,298 avc1 720x1280@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.2 dB), 0.00 kbps, 7.18 s,1080x1704xfalse,0 / 122,GQ:7.2s;
LGE Nexus 5 8.1.0,vjXlK_2-S6Quu7Av,a5w2cAj4tiM,,https://www.youtube.com/shorts/a5w2cAj4tiM,298 avc1 720x1280@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.2 dB), 0.00 kbps, 0.510 s,1080x1704xfalse,0 / 517,GQ:0.5s;
LGE Nexus 5 8.1.0,kGsex1sD17f7MuGX,18dC9HEJhAc,,https://www.youtube.com/shorts/18dC9HEJhAc,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.4 dB), 0.00 kbps, 9.28 s,1080x1704xfalse,0 / 62,GQ:15.4s;
LGE Nexus 5 8.1.0,kGsex1sD17f7MuGX,18dC9HEJhAc,,https://www.youtube.com/shorts/18dC9HEJhAc,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -2.4 dB), 0.00 kbps, 8.64 s,1080x1704xfalse,0 / 266,GQ:8.6s;
LGE Nexus 5 8.1.0,SsRZwy1bFrgxrTKg,_WEudznbEz4,,https://www.youtube.com/shorts/_WEudznbEz4,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -9.7 dB), 0.00 kbps, 15.0 s,1080x1704xfalse,0 / 62,GQ:15.0s;
LGE Nexus 5 8.1.0,SsRZwy1bFrgxrTKg,_WEudznbEz4,,https://www.youtube.com/shorts/_WEudznbEz4,137 avc1 1080x1920@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -9.7 dB), 0.00 kbps, 8.46 s,1080x1704xfalse,0 / 257,GQ:8.5s;
LGE Nexus 5 8.1.0,CZwaFW4y9ZuzGCnH,XyjYkWiIzXI,Yes,https://www.youtube.com/shorts/XyjYkWiIzXI,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 5.0 dB), 0.00 kbps, 12.3 s,1080x1704xfalse,0 / 69,GQ:12.3s;
LGE Nexus 5 8.1.0,CZwaFW4y9ZuzGCnH,XyjYkWiIzXI,Yes,https://www.youtube.com/shorts/XyjYkWiIzXI,136 avc1 720x1280@30,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness 5.0 dB), 0.00 kbps, 5.65 s,1080x1704xfalse,0 / 269,GQ:5.6s;
LGE Nexus 5 8.1.0,6U3slbSuWqK0N_Ln,lqrhgdQBF_4,,https://www.youtube.com/shorts/lqrhgdQBF_4,298 avc1 720x1080@60,251:CggKA2RyYxIBMQ opus,0%/0%(content loudness -5.8 dB), 0.00 kbps, 25.9 s,1080x1704xfalse,0 / 124,GQ:25.9s;
